Applied potential (V)   WE current (A)
          0     -1.879e-11
    0.01001      4.134e-10
    0.02002      7.328e-10
    0.03002      1.127e-09
    0.04003      1.409e-09
    0.05004      1.597e-09
    0.06005      1.841e-09
    0.07005       2.02e-09
    0.08006       2.17e-09
    0.09007      2.311e-09
     0.1001      2.386e-09
     0.1101      2.499e-09
     0.1201      2.583e-09
     0.1301      2.696e-09
     0.1401      2.828e-09
     0.1501      3.025e-09
     0.1601      3.326e-09
     0.1701      3.692e-09
     0.1801      4.011e-09
     0.1901      4.227e-09
     0.2002      4.519e-09
     0.2102      4.744e-09
     0.2202      5.035e-09
     0.2302      5.139e-09
     0.2402      5.336e-09
     0.2502      5.825e-09
     0.2602      6.135e-09
     0.2702      6.266e-09
     0.2802      6.445e-09
     0.2902      6.736e-09
     0.3002      7.083e-09
     0.3102      7.356e-09
     0.3202      7.591e-09
     0.3303      7.854e-09
     0.3403      8.032e-09
     0.3503      8.126e-09
     0.3603      8.173e-09
     0.3703      8.446e-09
     0.3803      8.671e-09
     0.3903      8.709e-09
     0.4003      8.821e-09
     0.4103      8.934e-09
     0.4203      9.009e-09
     0.4303      9.009e-09
     0.4403      9.028e-09
     0.4503      9.066e-09
     0.4604      9.113e-09
     0.4704      9.141e-09
     0.4804      9.141e-09
     0.4904      9.178e-09
     0.5004      9.207e-09
     0.4904      9.141e-09
     0.4804      9.047e-09
     0.4704      8.868e-09
     0.4604      8.511e-09
     0.4503      8.183e-09
     0.4403      7.873e-09
     0.4303      7.581e-09
     0.4203      7.337e-09
     0.4103      6.999e-09
     0.4003      6.773e-09
     0.3903      6.623e-09
     0.3803      6.294e-09
     0.3703      5.872e-09
     0.3603      5.561e-09
     0.3503      5.345e-09
     0.3403      5.148e-09
     0.3303      4.819e-09
     0.3202      4.444e-09
     0.3102      4.143e-09
     0.3002       3.88e-09
     0.2902      3.654e-09
     0.2802      3.476e-09
     0.2702      3.363e-09
     0.2602       3.25e-09
     0.2502      2.903e-09
     0.2402      2.668e-09
     0.2302      2.555e-09
     0.2202      2.405e-09
     0.2102      2.236e-09
     0.2002      2.161e-09
     0.1901      2.029e-09
     0.1801      1.945e-09
     0.1701      1.851e-09
     0.1601      1.747e-09
     0.1501      1.635e-09
     0.1401      1.597e-09
     0.1301      1.494e-09
     0.1201       1.39e-09
     0.1101      1.156e-09
     0.1001      9.019e-10
    0.09007      6.106e-10
    0.08006      2.161e-10
    0.07005     -1.879e-10
    0.06005     -5.731e-10
    0.05004     -9.582e-10
    0.04003     -1.409e-09
    0.03002     -1.794e-09
    0.02002     -2.273e-09
    0.01001     -2.546e-09
          0     -3.063e-09
   -0.01001      -3.73e-09
   -0.02002     -4.246e-09
   -0.03002     -4.584e-09
   -0.04003     -4.951e-09
   -0.05004     -5.383e-09
   -0.06005     -5.815e-09
   -0.07005      -6.21e-09
   -0.08006     -6.539e-09
   -0.09007     -6.839e-09
    -0.1001     -7.083e-09
    -0.1101     -7.281e-09
    -0.1201     -7.337e-09
    -0.1301     -7.497e-09
    -0.1401      -7.76e-09
    -0.1501     -7.919e-09
    -0.1601     -8.004e-09
    -0.1701     -8.154e-09
    -0.1801     -8.211e-09
    -0.1901      -8.23e-09
    -0.2002      -8.22e-09
    -0.2102     -8.258e-09
    -0.2202     -8.258e-09
    -0.2302     -8.239e-09
    -0.2402     -8.239e-09
    -0.2502     -8.248e-09
    -0.2602     -8.183e-09
    -0.2702     -8.201e-09
    -0.2802     -8.089e-09
    -0.2902     -7.976e-09
    -0.3002     -7.826e-09
    -0.3102     -7.525e-09
    -0.3202     -7.224e-09
    -0.3303     -6.961e-09
    -0.3403     -6.698e-09
    -0.3503     -6.426e-09
    -0.3603       -6.2e-09
    -0.3703     -5.928e-09
    -0.3803     -5.787e-09
    -0.3903     -5.618e-09
    -0.4003     -5.261e-09
    -0.4103     -4.923e-09
    -0.4203     -4.688e-09
    -0.4303     -4.519e-09
    -0.4403     -4.331e-09
    -0.4503     -4.058e-09
    -0.4604      -3.73e-09
    -0.4704     -3.476e-09
    -0.4804      -3.25e-09
    -0.4904     -3.091e-09
    -0.5004     -2.912e-09
    -0.4904     -2.781e-09
    -0.4804     -2.753e-09
    -0.4704     -2.424e-09
    -0.4604      -2.18e-09
    -0.4503     -2.057e-09
    -0.4403     -1.945e-09
    -0.4303     -1.766e-09
    -0.4203     -1.672e-09
    -0.4103     -1.682e-09
    -0.4003     -1.616e-09
    -0.3903     -1.531e-09
    -0.3803     -1.522e-09
    -0.3703     -1.437e-09
    -0.3603     -1.409e-09
    -0.3503     -1.362e-09
    -0.3403     -1.278e-09
    -0.3303     -1.259e-09
    -0.3202     -1.165e-09
    -0.3102     -1.024e-09
    -0.3002     -7.516e-10
    -0.2902     -4.603e-10
    -0.2802     -1.315e-10
    -0.2702      6.576e-11
    -0.2602        3.1e-10
    -0.2502      5.731e-10
    -0.2402      8.549e-10
    -0.2302      9.394e-10
    -0.2202      1.118e-09
    -0.2102       1.55e-09
    -0.2002      1.898e-09
    -0.1901      2.123e-09
    -0.1801      2.245e-09
    -0.1701      2.452e-09
    -0.1601      2.753e-09
    -0.1501      3.063e-09
    -0.1401      3.363e-09
    -0.1301      3.607e-09
    -0.1201      3.767e-09
    -0.1101      3.964e-09
    -0.1001      4.049e-09
   -0.09007      4.312e-09
   -0.08006      4.622e-09
   -0.07005      4.885e-09
   -0.06005      5.082e-09
   -0.05004      5.383e-09
   -0.04003      5.665e-09
   -0.03002      5.881e-09
   -0.02002      6.144e-09
   -0.01001      6.445e-09
          0      6.773e-09
